proposal_id,stand_r1_score,stand_r2_score,stand_r3_score,average_stand_score,rank
105,.8993080741755878,1.310067246456596,1.076437980770987,1.0952711,1
114,1.20754869080312,1.01069305771701,.9991153567326135,1.0724524,2
65,.9121124020934803,1.323396908823547,.8983642218631894,1.0446246,3
77,.6745803192584162,1.152669468708663,1.196890234574745,1.0080466,4
75,.4004734994724501,1.323396908823547,1.195923885010256,.97326475,5
84,1.200617626471463,1.310067246456596,.3314006641753136,.94736183,6
78,.5821628056365635,.7159564883792038,1.196890234574745,.83166987,7
86,1.195923885010256,.2485295699208033,.8993080741755878,.78125381,8
33,.3612431764763677,1.109471562926762,.8201296149398528,.76361477,9
46,.653322654033418,.6825275644277778,.8993080741755878,.74505275,10
100,.6746108232632588,.5512768021707067,.9991153567326135,.74166769,11
71,-.0525020124977017,1.076437980770987,1.200617626471463,.74151784,12
52,1.202398110555734,.6930509389480677,.3182183106068829,.73788911,13
18,.4756354934513479,1.196890234574745,.5076992476031704,.72674167,14
58,1.076437980770987,1.04083379151833,.0277221390790409,.71499795,15
111,1.025715338882582,.715986159160959,.3675148886025726,.70307213,16
45,1.152669468708663,1.04083379151833,-.2569450852866723,.64551938,17
26,.715986159160959,.158496020008325,1.04083379151833,.63843864,18
57,.3675148886025726,.9114037031942526,.5821628056365635,.62036049,19
91,.8993080741755878,-.1777061573179738,1.131773084905106,.61779165,20
59,.1952688802664875,.9114037031942526,.6930509389480677,.59990782,21
51,1.20754869080312,.0277221390790409,.5076992476031704,.58099002,22
68,.3287796066960542,1.10063106859603,.2938574126466415,.57442272,23
112,.1915307607774056,.3182183106068829,1.200617626471463,.57012224,24
108,.8993080741755878,.4309982688631159,.2960021301249283,.54210281,25
44,.4809591754205152,1.195923885010256,-.0642362253762955,.53754896,26
9,1.152669468708663,.5775233391527097,-.2534670917224519,.49224192,27
92,.3550422572552063,.1904412022479331,.8993080741755878,.48159719,28
88,.4178529862588075,.1151540010595648,.8932099954977837,.47540566,29
13,.2960021301249283,.5840218804398327,.5193078030753928,.46644393,30
8,.1904412022479331,.8201296149398528,.3852929521173664,.46528792,31
27,-.330826085960205,1.408523520594369,.2994123360453818,.45903659,32
119,1.01069305771701,-.3654879887961467,.5907576304257961,.41198757,33
118,-.612902801178179,1.310067246456596,.5043053083423022,.40048993,34
72,1.131773084905106,-.125166993868291,.1931062777772173,.39990413,35
80,-.4158303941669771,.7159564883792038,.8993080741755878,.39981139,36
98,1.196890234574745,-.2768910509029452,.2353144985234921,.38510457,37
127,.9133276721167106,.3946085475160666,-.1583014297474854,.38321158,38
61,.2512781011593412,-.2534670917224519,1.136603472194086,.37813815,39
23,-.0501158643672496,.1420168825863994,1.04083379151833,.37757826,40
87,-.1777061573179738,.2960021301249283,.9962727005171003,.3715229,41
